text,label
breaking: nfl team declares bankruptcy kneeling thugs,0
court orders obama pay $400 million restitution,0
update: second roy moore accuser works michelle obama right -,0
oscar pistorius attempts commit suicide,0
trump votes death penalty gay,0
putin says: ‘pope francis man god’ | must-see !!,0
new york man wanted infecting 240 men women hiv!!!,0
saudi arabia behead 6 school girls male friends parents guardian,0
malia obama fired cushy internship spanish embassy,0
target discontinue sale holy bible,0
youngest world leader bans george soros’s foundations austria,0
breaking: hillary clinton heart attack-docs says ‘won’t survive’,0
"barack obama tweets sick attack john mccain, says died",0
president trump underscores us-jamaica relations,0
actress sandra bullock hillary clinton don't like president leave come jealous woman ls compare trump hope arrest y,0
gretchen carlson: “the 2nd amendment written guns invented”,0
"pope francis mass: ‘jesus metaphorical, literal’",0
black men arrested philadelphia starbucks settle $2 million,0
ice detainer issued suspected wine country arsonist sonoma jail,0
presidents walk fine line trump’s america,0
"inside snapchat bloodbath: 60 minutes terror left 17 dead, bodies classrooms kids 'full blood'",0
breaking: nancy pelosi resign new revelations – nrtonline,0
"donald trump inauguration: artists won't perform ceremony include elton john, celine dion john legend",0
breaking: leaked picture obama dragged judge handcuffs wiretapping trump,0
clinton campaign official arrested fbi child rape/trafficking charges,0
"donald train news: breaking: rosa parks’ granddaughter slams racist democrats, endorses trump",0
"nra president jim porter falsely accused saying, “it’s matter time colored people again”",0
biden raises possibility 2020 presidential bid,0
"nyc: physician wife jump death…leave kids “can’t afford health care” hours mccain, murkowski, collins democrat voted obamacare -",0
snapchat shutting down!,0
rice told investigators unmasked trump aides,0
breaking: meryl streep just got fired major project lying trump -,0
clinton email: destroy syria israel,0
cnn host fareed zakaria calls jihad rape white women,0
trump win nobel peace prize? peace korean peninsula significant foreign policy achievement,0
update: hillary clinton leaves country mueller indictment announced,0
breaking: illegal muslim iran arrested starting california wildfire,0
"nfl lawyer, claimed super bowl ‘rigged’, dead",0
"japanese whaling crew eaten alive killer whales, 16 dead",0
barrels removed clinton property contain parts 3 missing women.,0
"liberal women hate “striking beauty intellect”, says kellyanne conway",0
buzz aldrin ‘passes ufo lie detector test leaving experts convinced encountered alien life’,0
text: jeff flake trump speech transcript,0
mike pence: “allowing rape victims abortions lead women trying raped”,0
"paul ryan: “22 million americans choose poor, it’s problem can’t afford healthy”",0
pope francis: gun owners 'can’t christian' anymore,0
mayor bhalla,0
neon nettle,0
broward county sheriff fired lying parkland,0
tom price: “it’s better budget cancer patients die quickly”,0
breaking: greitens accuser admits photo session “dream”,0
obama administration kept illegal mexican kids detention camps “experiment”,0
pope francis followers: “koran holy bible same”,0
united airlines flight attendant slaps crying baby flight,0
"cia release documents moon, moon 250 million citizens",0
donald trump lost 'war christmas',0
thousands killed israel drops tactical nuclear bomb syria,0
man charged murder driving anti-far-right protesters charlottesville,0
breaking: fox sports cancels nfl broadcasts ‘until players respect flag’,0
legislative process,0
head nfl fines steeler teammates $1 million each!,0
debbie wasserman schultz aide arrested trying flee country,0
breaking: sasha obama just crashed expensive new car lake,0
sid miller,0
"kasich: “if woman intelligent legs closed, entrust abortion decision her?”",0
democrat maxine waters shown 10% congressional meetings 35 years,0
gop official says america needs ?another 9/11? shares _______________ trump,0
82-year-old killed muslim self-defense gets death penalty,0
dea just raided united states senator,0
"cnn shocks america, fires ‘journalist’ fun sarah sanders’ face",0
trump’s dhs secretary confirms preparing arrest sanctuary city leaders,0
hurricanes headed,0
california democrat maxine waters charged 3 counts. support this?,0
"breaking: british intelligence seizes clinton foundation warehouse, $400 million cash – nrtonline",0
"official: rudy giuliani officially resigns, trump’s legal team leg",0
michelle obama just received life-shattering news doctor,0
special report: georgia state ban muslim culture historic restore western values!,0
tens thousands scientists declare climate change hoax,0
numbers don't lie... - occupy democrats,0
donald trump issue executive order ban facebook,0
"hacked emails center mueller’s russia investigation, explained",0
just in: barack obama arrested japanese drug bust,0
lisa page squeals: dnc server hacked russia,0
"bin laden “alive bahamas”, says edward snowden",0
robert redford says: michelle barack obama years prison,0
delta ticket 2017,0
breaking: mar-a-lago destroyed irma-jared kushner missing,0
puerto rico mayor facing fraud charges $3m federal disaster relief,0
dying 78 year old cia agent admits killing marilyn monroe,0
breaking news: fbi uncovers evidence 62 million trump voters russian agents,0
using toothpaste… throw away immediately nov 28,0
"queen elizabeth says: “muslim refugees dividing nationality, fully agree donald trump should…”(video)",0
account suspended,0
mccain blamed sabotaging trump,0
create prank trick friends,0
"bombshell: comey knew murdered dnc staffer, seth rich, wikileaks source & covered hillary",0
american news construction,0
"actress jennifer aniston: “me trump supporter celebrities decide make company named “celebrities trump”, fight anti trump celebrities, think president trump ne",0
"police officers, firefighters hit tax penalty",0
whoopi goldberg: navy seal widow “looking attention”,0
starbucks just placed trump’s photo floor customer step it….,0
food stamp enrollment drops million month,0
obama goes g20 summit,0
melania trump hired exorcist ‘cleanse white house obama demons’,0
urgent: proposed law charge protesters terrorism,0
"fact-check: no, fall river, massachusetts, ‘built immigrants’",0
clint eastwood leaves estate trump 2020 campaign,0
"actor brad pitt: 'trump president, future this...'",0
police 19 white female bodies freezers “black lives matter” carved skin,0
"breaking: trump fires deputy attorney general rod rosenstein, raising questions mueller’s fate",0
jefferson davis statue replaced obama likeness,0
john hagee calls “prosecuting women say god’s intercourse”,0
kardashians donate whopping sum las vegas mass shooting victims,0
colorado rockies baseball team sell marijuana brownies concession stands,0
"mitt romney: ‘trump emotional problems, resign we…’",0
breaking: trump removes muslim federal judge trying implement sharia law america,0
breaking: autopsy results vince foster’s exhumed body–cause death changed,0
"gates: “i think donald trump history greatest presidents, just like reagan.”",0
"florida bridge collapse, female company",0
hrc caught tape laughing irma wiping florida hillbillies,0
alabama state police arrest 3 poll workers birmingham,0
hollywood celebs: ‘total strike’ trump does resign,0
breaking: roy moore’s accuser arrested charged falsification,0
white house chef quits trump eaten fast food 6 months,0
112-year-old voters north carolina?,0
denzel washington hit facebook fake news story trump,0
nasa pay 18000 usd stay bed smoke weed 70 straight days,0
breaking: nancy pelosi just taken office handcuffs,0
paul ryan: “donald trump plans resign office 30 days”,0
listen: curious robocall seeks 'damaging' information moore,0
"national guard storms mexico border, makes game-changing impact just 30 days",0
breaking: florida moves recount state massive voter fraud (details),0
breaking: shep smith canned can’t control hate donald trump,0
"3,000-pound great white shark captured great lakes",0
wife las vegas massacre victim: ‘he saved life lost his’,0
breaking: malia obama expelled harvard,0
bachmann: “white people suffered 8 years blacks did couple years slavery”,0
babysitter crystal meth eats 3-month-old baby,0
contact support,0
just in: john kerry facing prison,0
just in: sarah palin coma hit run,0
trump declares globalist soros “national security threat”…using obama’s 2014 executive order,0
delta targeted online free airline ticket scam,0
melania just hit donald trump shocking announcement saw coming,0
"obama canceled it, trump reinstated – sacred day",0
uspostman.com sale (us postman),0
bumble bee foods charged man cooked tuna,0
morgue employee cremated mistake taking nap,0
hillary clinton furious ‘special gift’ melania trump sent hospital bed,0
stephen bannon: “nobody blame beating wife it’s love”,0
"fake photo emma gonzález went viral far right, parkland teens villains",0
information nation,0
majorthoughts.com,0
trump revamping military: we’re bringing draft,0
representatives promise implement gun-control plans,0
gates’ doctor says billionaire ‘refused vaccinate children’,0
"haiti official getting ready testify clinton foundation corruption week, dead “gunshot head”",0
facebook picks sides alabama senate race=> shuts gateway pundit breitbart reports discredited allred accuser,0
cannibals arrested florida claim eating human flesh cures diabetes depression,0
laguna beach antifa 22m david hogg didn't attend parkland high school went school redondo shores high school california graduated 2015 yearbook 201,0
lady gaga twitter,0
american news construction,0
kushner wife ivanka trump tossed white house — donald cutting will!,0
thinking writing candidate election day? read do.,0
trump gives chaffetz thumbs investigating hillary clinton’s email server,0
obama secretly flees – leaves stunning evidence,0
breaking: monica lewinsky dead roslindale,0
breaking: democrat james comey having affair just revealed! (details),0
"abc news joins obama ban american flag lapel pins, here’s need know",0
10 things didn't know nancy pelosi,0
"mom applies remedy baby, moments later dies. careful this, moms!",0
clinton foundations sends water houston $7 bottle,0
"flight crew takes knee walks off, leaving new orleans saints stranded runway",0
floyd mayweather jr. donates whopping sum money houston hurricane – missed,0
"new star wars movie filming near rosenberg, texas, large number extras needed – wbn 12 news",0
chuck schumers steamy affair high school cheerleader confirmed,0
"tennessee gop twitter taken down, tweet exposing pelosi involved pedophilia",0
"80% black men atlanta homosexuals, study says",0
texas church shooter militant atheist,0
pope calls world wide gun confiscation,0
breaking: barcelona terrorist cousin named barack,0
breaking: president trump just told paul ryan ‘you’re fired’,0
“hiv virus” walmart bananas 10 year old boy agreements infection,0
senate democrats demand supreme court nominee unduly influenced u.s. constitution,0
application ‘march lives’ permit months parkland school shooting,0
412 michigan muslims arrested fed’s ‘largest bust u.s. history’,0
"boom: roy moore takes military vote, pulls ahead 5k votes",0
julia roberts claims ‘michelle obama isn’t fit clean melania’s toilet’,0
new jersey police chief says black people ‘have value’ executed,0
state minnesota just handed control muslims ‘infidels’,0
breaking: clinton foundation cargo ship raided port baltimore reveals sick secret,0
miley cyrus: 'donald trump f--king nightmare',0
breaking: o’reilly critical condition attacked ‘tolerant’ liberals,0
"murray say rochester, new hampshire residents – news daily 12",0
keanu reeves shook world powerful message,0
breaking: ken starr’s plane just disappeared way dc testify hillary,0
trump wants deport american indians india,0
breaking: johnny depp taken custody secret service,0
"peter strzok, fbi agent texting scandal, testify congress",0
trump removing marines navy,0
mueller forced resign pelosi affair,0
donald trump praises colonel sanders service civil war manny schewitz o 2 days ago wire speaking intern dave robicheaux paid facebook likes trump insisted col h,0
charleston shooter dylann roof moved death row terre haute federal prison,0
trump vows end winter heating assistance elderly disabled – voice,0
breaking: supreme court issues bench warrant,0
clinton foundation largest unprosecuted charity fraud history-charles ortel,0
redirected...,0
"smoking cars children illegal starting january 30, 2018",0
fbi uncovered russian bribery plot obama administration approved controversial nuclear deal moscow,0
nasa just confirmed earth new moon,0
"pro-russia, pro-weed, pro-assange gop congressman tough beat",0
target recalls water absorbing toys ingestion hazard,0
update: malia obama 10 arrested racist antifa attack,0
uf requests cancel rivalry game fsu,0
las vegas shooting witnesses report multiple gunmen dressed security guards oct 3 2017,0
alternativemediasyndicate.com,0
breaking: comedian kevin hart critical condition gory car crash,0
trump approval rating better obama reagan point presidencies,0
fox news sandra smith: “everybody united airlines passenger’s behavior genuine american”,0
flashnewscorner.com,0
"dnc’s donna brazile dedicated book ‘patriot’ seth rich, death fear life",0
manager killed 10 employees checkers 183st 27ave,0
obama announces bid secretary general – usa news,0
mexico’s president calls invasion us….,0
nasa announced communicated races aliens,0
ohio student suspended staying class national walkout day,0
breaking news: prince william harry donates $100 million hurricane harvey victims,0
morgan freeman: ‘jailing hillary’ best way ‘restore public faith govt’,0
jason aldean gig canceled sells liberals snl,0
trump orders 13 obama deep state operatives arrested treason,0
inside fake news sausage factory: ‘this income’,0
cnn permanently close doors ratings plunge 30 percent,0
report: kim jong killed trump’s overnight black op attack north korea -,0
"statement fda commissioner scott gottlieb, m.d., fda’s ongoing efforts help improve effectiveness influenza vaccines",0
eric trump: 'foolish' dad release tax returns,0
breaking! roy moore’s accuser worked democratic leaders actively campaigning moore’s opponent ⋆ activist mommy,0
civil war erupts sweden irate swedes burn muslim refugee centers ground,0
mental images,0
kurt russel just showed overpaid celebs it’s time shut trump – hits hurts!,0
indictment issued russian bribery case tied obama-era uranium deal,0
trump’s scientist pick: “scientists just dumb regular people think dinosaurs existed earth getting warmer”,0
stunning! democrats boo groan trump mention murder victims ms-13 killers (video),0
"breaking: trump just gave working, legal man woman child usa $612 each! -",0
investigators: anthony bourdain killed clinton operatives,0
friendly … charlottesville car attacker antitrump antifa supporter,0
breaking: 60 people just dead ohio,0
denzel washington: trump avoided war russia orwellian police state,0
"oprah winfrey: butler, racism obama",0
citizens want receive gvt benefits agree microchipped near future,0
usa: mysterious nazi submarine wwii discovered great lakes!,0
breaking obamaled just official immediately pay blacks ‘reparations’,0
computer models irma destroying new york city sept. 10,0
"nasa pay $100,000 stay bed 60 days!",0
breaking: president trump pardons kim davis,0
"queen elizabeth ii's line corgis dies, says british press",0
pay salary!.... - judge jeanine pirro fans,0
"whoopi goldberg humiliated, handcuffed dragged tv studio",0
breaking: czech republic arms citizens – “you shoot terrorists sight”,0
alabama football crimson tide disqualified national championship,0
